sharepoint_item_id,short_name,name,country_iso2,country_name,source
"182","IdiPAZ","La Paz University Hospital ","ESP","ESP","sharepoint"
"188","IISLFe","Instituto de Investigación Sanitaria La Fe","ESP","ESP","sharepoint"
"195","CRC Geneva","Centre de Recherche Clinique Hôpitaux Universitaires de Genève  ","CHE","CHE","sharepoint"
"196","CTC Maastricht","Clinical Trial Center Maastricht","NLD","NLD","sharepoint"
"197","LIH","Luxembourg Institute of Health (LIH)","LUX","LUX","sharepoint"
"198","IPCZD","Children's Memorial Health Institute","POL","POL","sharepoint"
"199","CRT","Clinical Research Technology Srl","ITA","ITA","sharepoint"
"200","GUM","Medical University of Gdansk","POL","POL","sharepoint"
"201","UMED","UNIWERSYTET MEDYCZNY ","POL","POL","sharepoint"
"202","UCD-CRC","University College Dublin","IRL","IRL","sharepoint"
"203","Pharmassist , Athens","PHARMASSIST Ltd","GRC","GRC","sharepoint"
"204","AIDFM  CETERA","AIDFM - Associação para Investigação e Desenvolvimento da Faculdade de
Medicina","PRT","PRT","sharepoint"
"205","CTI","Cancer Trials Ireland ","IRL","IRL","sharepoint"
"206","CHU Nice","CENTRE HOSPITALIER UNIVERSITAIRE DE NICE","FRA","FRA","sharepoint"
"207","CCS Erlangen","Universitätsklinikum Erlangen Center for Clinical Studies (CCS)","DEU","DEU","sharepoint"
"208","CTC Zürich","CTC Zurich","CHE","CHE","sharepoint"
"209","CTU OUH","Oslo University Hospital","NOR","NOR","sharepoint"
"210","MONIPOL","MONIPOL Clinical Research","POL","POL","sharepoint"
"245","Vizera, Ljubljana","Vizera d.o.o.","SVN","SVN","sharepoint"
"246","IZKS Mainz","Interdisciplinary Center for Clinical Trials (IZKS)","DEU","DEU","sharepoint"
"248","ZKS MHH","Hannover Medical School (MHH)","DEU","DEU","sharepoint"
"250","SZ-UMG","UMG Clinical Trials Unit (Studienzentrum UMG)","DEU","DEU","sharepoint"
"253","SMERUD","Smerud Medical Research International AS","NOR","NOR","sharepoint"
"254","MCRN","MCRN Hungary","HUN","HUN","sharepoint"
"257","HRI UL","University of Limerick Health Research Institute","IRL","IRL","sharepoint"
"258","INFANT UCC","INFANT UCC","IRL","IRL","sharepoint"
"260","CRF-G","HRB Clinical Research Facility Galway, NUI Galway","IRL","IRL","sharepoint"
"262","CRU2C","Clinical Research Unit, University of Coimbra - CRU2C","PRT","PRT","sharepoint"
"267","WMU","Wroclaw Medical University","POL","POL","sharepoint"
"268","Monitoring Force","Monitoring Force Services","FRA","FRA","sharepoint"
"269","CTC IRST","IRCCS Istituto Romagnolo per lo Studio dei Tumori ""Dino Amadori"" - IRST
S.r.l.","ITA","ITA","sharepoint"
"270","CTU Nijmegen","Radboudumc","NLD","NLD","sharepoint"
"273","KKS Innsbruck","Medizinische Universität Innsbruck - Kompetenzzentrum für klinische
Studien KKS","AUT","AUT","sharepoint"
"279","CTC UPJS","Pavol Jozef Šafárik University in Košice","SVK","SVK","sharepoint"
"280","KKS Vienna","Clinical Trials Coordination/ Centre Medical University of Vienna, ","AUT","AUT","sharepoint"
"281","JCR Utrecht","Julius Clinical Research B.V. ","NLD","NLD","sharepoint"
"284","CHU Grenoble","CHU GRENOBLE ALPES","FRA","FRA","sharepoint"
"288","ZKS Freiburg","Clinical Trials Unit - Zentrum Klinische Studien, Freiburg","DEU","DEU","sharepoint"
"302","Scandinavian CRO","Scandinavian CRO AB","SWE","SWE","sharepoint"
"309","CTC MU","Masaryk University - Faculty of Medicine, Center of Excellence CREATIC","CZE","CZE","sharepoint"
"317","AP-HP","Assistance Publique - Hôpitaux de Paris","FRA","FRA","sharepoint"
"318","CMUJ","Jagiellonian University ","POL","POL","sharepoint"
"319","CTU Bern","Department of Clinical Research (DCR)","CHE","CHE","sharepoint"
"320","CTC MEYER1","University Hospital Careggi (AOUC)","ITA","ITA","sharepoint"
"321","CTU Groningen","University Medical Center Groningen (UMCG)","NLD","NLD","sharepoint"
"322","CRC Lausanne","Centre hospitalier universitaire vaudois (CHUV)/Centre de recherche clinique (CRC) Lausanne","CHE","CHE","sharepoint"
"324","CTU-EOC Lugano","Clinical Trial Unit - Ente Ospedaliero Cantonale","CHE","CHE","sharepoint"
